"Day","ID_experiment","Sequence_order","Sequence","Minute","N","P","Fish_number","Fish_biomass","total_bites_trial","Total_bites_minute","fish_eating_minute","initial_weight","control_before","control_after","final_weight","A_cons_tot","A_cons_min","C","P_biomass_kg_m2"
"14/06/2019",7,"5_3_1_4_2",3,4,0.05,0.106,63,8814,288,2,1,30.44,30.68,26.96,19.01,10.0440938722295,0.069750651890482,0.069750651890482,0.0148
"14/06/2019",7,"5_3_1_4_2",3,5,0.05,0.106,63,8814,288,25,4,30.44,30.68,26.96,19.01,10.0440938722295,0.87188314863103,0.217970787157758,0.0148
"14/06/2019",7,"5_3_1_4_2",3,6,0.05,0.106,63,8814,288,10,3,30.44,30.68,26.96,19.01,10.0440938722295,0.348753259452412,0.116251086484137,0.0148
"14/06/2019",7,"5_3_1_4_2",3,7,0.05,0.106,63,8814,288,26,4,30.44,30.68,26.96,19.01,10.0440938722295,0.906758474576271,0.226689618644068,0.0148
"14/06/2019",7,"5_3_1_4_2",3,8,0.05,0.106,63,8814,288,0,0,30.44,30.68,26.96,19.01,10.0440938722295,0,0,0.0148
"14/06/2019",7,"5_3_1_4_2",3,9,0.05,0.106,63,8814,288,25,2,30.44,30.68,26.96,19.01,10.0440938722295,0.87188314863103,0.435941574315515,0.0148
"14/06/2019",7,"5_3_1_4_2",3,10,0.05,0.106,63,8814,288,24,3,30.44,30.68,26.96,19.01,10.0440938722295,0.837007822685789,0.27900260756193,0.0148
"14/06/2019",7,"5_3_1_4_2",3,11,0.05,0.106,63,8814,288,8,2,30.44,30.68,26.96,19.01,10.0440938722295,0.27900260756193,0.139501303780965,0.0148
"14/06/2019",7,"5_3_1_4_2",3,12,0.05,0.106,63,8814,288,2,1,30.44,30.68,26.96,19.01,10.0440938722295,0.069750651890482,0.069750651890482,0.0148
"14/06/2019",7,"5_3_1_4_2",3,13,0.05,0.106,63,8814,288,9,1,30.44,30.68,26.96,19.01,10.0440938722295,0.313877933507171,0.313877933507171,0.0148
"14/06/2019",7,"5_3_1_4_2",3,14,0.05,0.106,63,8814,288,0,0,30.44,30.68,26.96,19.01,10.0440938722295,0,0,0.0148
"14/06/2019",7,"5_3_1_4_2",3,15,0.05,0.106,63,8814,288,20,3,30.44,30.68,26.96,19.01,10.0440938722295,0.697506518904824,0.232502172968275,0.0148
"14/06/2019",8,"5_3_1_4_2",1,1,0.076,0.106,63,8814,305,76,24,45.73,45.55,37.95,23.53,18.4959385290889,4.60882402692052,0.192034334455022,0.0148
"14/06/2019",8,"5_3_1_4_2",1,2,0.076,0.106,63,8814,305,38,12,45.73,45.55,37.95,23.53,18.4959385290889,2.30441201346026,0.192034334455022,0.0148
"14/06/2019",8,"5_3_1_4_2",1,3,0.076,0.106,63,8814,305,17,3,45.73,45.55,37.95,23.53,18.4959385290889,1.03092116391643,0.343640387972144,0.0148
"14/06/2019",8,"5_3_1_4_2",1,4,0.076,0.106,63,8814,305,16,2,45.73,45.55,37.95,23.53,18.4959385290889,0.970278742509582,0.485139371254791,0.0148
"14/06/2019",8,"5_3_1_4_2",1,5,0.076,0.106,63,8814,305,22,4,45.73,45.55,37.95,23.53,18.4959385290889,1.33413327095068,0.333533317737669,0.0148
"14/06/2019",8,"5_3_1_4_2",1,6,0.076,0.106,63,8814,305,21,4,45.73,45.55,37.95,23.53,18.4959385290889,1.27349084954383,0.318372712385957,0.0148
"14/06/2019",8,"5_3_1_4_2",1,7,0.076,0.106,63,8814,305,15,3,45.73,45.55,37.95,23.53,18.4959385290889,0.909636321102734,0.303212107034245,0.0148
"14/06/2019",8,"5_3_1_4_2",1,8,0.076,0.106,63,8814,305,5,2,45.73,45.55,37.95,23.53,18.4959385290889,0.303212107034245,0.151606053517122,0.0148
"14/06/2019",8,"5_3_1_4_2",1,9,0.076,0.106,63,8814,305,23,5,45.73,45.55,37.95,23.53,18.4959385290889,1.39477569235752,0.278955138471505,0.0148
"14/06/2019",8,"5_3_1_4_2",1,10,0.076,0.106,63,8814,305,16,4,45.73,45.55,37.95,23.53,18.4959385290889,0.970278742509582,0.242569685627396,0.0148
"14/06/2019",8,"5_3_1_4_2",1,11,0.076,0.106,63,8814,305,17,4,45.73,45.55,37.95,23.53,18.4959385290889,1.03092116391643,0.257730290979108,0.0148
"14/06/2019",8,"5_3_1_4_2",1,12,0.076,0.106,63,8814,305,27,4,45.73,45.55,37.95,23.53,18.4959385290889,1.63734537798492,0.40933634449623,0.0148
"14/06/2019",8,"5_3_1_4_2",1,13,0.076,0.106,63,8814,305,0,0,45.73,45.55,37.95,23.53,18.4959385290889,0,0,0.0148
"14/06/2019",8,"5_3_1_4_2",1,14,0.076,0.106,63,8814,305,5,1,45.73,45.55,37.95,23.53,18.4959385290889,0.303212107034245,0.303212107034245,0.0148
"14/06/2019",8,"5_3_1_4_2",1,15,0.076,0.106,63,8814,305,7,1,45.73,45.55,37.95,23.53,18.4959385290889,0.424496949847942,0.424496949847942,0.0148
"14/06/2019",9,"5_3_1_4_2",4,1,0.101,0.106,63,8814,311,42,15,60.7,60.54,49.07,39.41,17.256364387182,2.33044149280272,0.155362766186848,0.0148
"14/06/2019",9,"5_3_1_4_2",4,2,0.101,0.106,63,8814,311,61,11,60.7,60.54,49.07,39.41,17.256364387182,3.3846888347849,0.307698984980445,0.0148
"14/06/2019",9,"5_3_1_4_2",4,3,0.101,0.106,63,8814,311,11,2,60.7,60.54,49.07,39.41,17.256364387182,0.610353724305474,0.305176862152737,0.0148
"14/06/2019",9,"5_3_1_4_2",4,4,0.101,0.106,63,8814,311,29,6,60.7,60.54,49.07,39.41,17.256364387182,1.60911436407807,0.268185727346345,0.0148
"14/06/2019",9,"5_3_1_4_2",4,5,0.101,0.106,63,8814,311,8,4,60.7,60.54,49.07,39.41,17.256364387182,0.443893617676708,0.110973404419177,0.0148
"14/06/2019",9,"5_3_1_4_2",4,6,0.101,0.106,63,8814,311,27,1,60.7,60.54,49.07,39.41,17.256364387182,1.49814095965889,1.49814095965889,0.0148
"14/06/2019",9,"5_3_1_4_2",4,7,0.101,0.106,63,8814,311,16,2,60.7,60.54,49.07,39.41,17.256364387182,0.887787235353416,0.443893617676708,0.0148
"14/06/2019",9,"5_3_1_4_2",4,8,0.101,0.106,63,8814,311,4,1,60.7,60.54,49.07,39.41,17.256364387182,0.221946808838354,0.221946808838354,0.0148
"14/06/2019",9,"5_3_1_4_2",4,9,0.101,0.106,63,8814,311,8,3,60.7,60.54,49.07,39.41,17.256364387182,0.443893617676708,0.147964539225569,0.0148
"14/06/2019",9,"5_3_1_4_2",4,10,0.101,0.106,63,8814,311,17,1,60.7,60.54,49.07,39.41,17.256364387182,0.943273937563005,0.943273937563005,0.0148
"14/06/2019",9,"5_3_1_4_2",4,11,0.101,0.106,63,8814,311,18,2,60.7,60.54,49.07,39.41,17.256364387182,0.998760639772593,0.499380319886297,0.0148
"14/06/2019",9,"5_3_1_4_2",4,12,0.101,0.106,63,8814,311,11,2,60.7,60.54,49.07,39.41,17.256364387182,0.610353724305474,0.305176862152737,0.0148
"14/06/2019",9,"5_3_1_4_2",4,13,0.101,0.106,63,8814,311,2,1,60.7,60.54,49.07,39.41,17.256364387182,0.110973404419177,0.110973404419177,0.0148
"14/06/2019",9,"5_3_1_4_2",4,14,0.101,0.106,63,8814,311,40,2,60.7,60.54,49.07,39.41,17.256364387182,2.21946808838354,1.10973404419177,0.0148
"14/06/2019",9,"5_3_1_4_2",4,15,0.101,0.106,63,8814,311,17,2,60.7,60.54,49.07,39.41,17.256364387182,0.943273937563005,0.471636968781502,0.0148
"14/06/2019",10,"5_3_1_4_2",2,1,0.126,0.106,63,8814,343,54,11,75.5,75.54,64.62,61.1,12.3183478951549,1.93933173859581,0.176302885326892,0.0148
"14/06/2019",10,"5_3_1_4_2",2,2,0.126,0.106,63,8814,343,21,4,75.5,75.54,64.62,61.1,12.3183478951549,0.754184565009483,0.188546141252371,0.0148
"14/06/2019",10,"5_3_1_4_2",2,3,0.126,0.106,63,8814,343,25,5,75.5,75.54,64.62,61.1,12.3183478951549,0.897838767868432,0.179567753573686,0.0148
"14/06/2019",10,"5_3_1_4_2",2,4,0.126,0.106,63,8814,343,24,6,75.5,75.54,64.62,61.1,12.3183478951549,0.861925217153694,0.143654202858949,0.0148
"14/06/2019",10,"5_3_1_4_2",2,5,0.126,0.106,63,8814,343,22,3,75.5,75.54,64.62,61.1,12.3183478951549,0.79009811572422,0.26336603857474,0.0148
"14/06/2019",10,"5_3_1_4_2",2,6,0.126,0.106,63,8814,343,12,2,75.5,75.54,64.62,61.1,12.3183478951549,0.430962608576847,0.215481304288424,0.0148
"14/06/2019",10,"5_3_1_4_2",2,7,0.126,0.106,63,8814,343,10,2,75.5,75.54,64.62,61.1,12.3183478951549,0.359135507147373,0.179567753573686,0.0148
"14/06/2019",10,"5_3_1_4_2",2,8,0.126,0.106,63,8814,343,8,1,75.5,75.54,64.62,61.1,12.3183478951549,0.287308405717898,0.287308405717898,0.0148
"14/06/2019",10,"5_3_1_4_2",2,9,0.126,0.106,63,8814,343,40,4,75.5,75.54,64.62,61.1,12.3183478951549,1.43654202858949,0.359135507147373,0.0148
"14/06/2019",10,"5_3_1_4_2",2,10,0.126,0.106,63,8814,343,5,1,75.5,75.54,64.62,61.1,12.3183478951549,0.179567753573686,0.179567753573686,0.0148
"14/06/2019",10,"5_3_1_4_2",2,11,0.126,0.106,63,8814,343,15,1,75.5,75.54,64.62,61.1,12.3183478951549,0.538703260721059,0.538703260721059,0.0148
"14/06/2019",10,"5_3_1_4_2",2,12,0.126,0.106,63,8814,343,44,7,75.5,75.54,64.62,61.1,12.3183478951549,1.58019623144844,0.225742318778349,0.0148
"14/06/2019",10,"5_3_1_4_2",2,13,0.126,0.106,63,8814,343,9,2,75.5,75.54,64.62,61.1,12.3183478951549,0.323221956432635,0.161610978216318,0.0148
"14/06/2019",10,"5_3_1_4_2",2,14,0.126,0.106,63,8814,343,13,2,75.5,75.54,64.62,61.1,12.3183478951549,0.466876159291584,0.233438079645792,0.0148
"14/06/2019",10,"5_3_1_4_2",2,15,0.126,0.106,63,8814,343,41,2,75.5,75.54,64.62,61.1,12.3183478951549,1.47245557930423,0.736227789652114,0.0148
"22/06/2019",11,"2_3_1_4_5",2,1,0.025,0.133,79,9035,370,53,8,15.18,15.32,15.29,12.19,2.98414490861619,0.427458595017994,0.053432324377249,0.0152
"22/06/2019",11,"2_3_1_4_5",2,2,0.025,0.133,79,9035,370,29,2,15.18,15.32,15.29,12.19,2.98414490861619,0.233892438783431,0.116946219391715,0.0152
